rij,Disk i,Disk j,log10(Di),tta_i,log10(Dj),tta_j,Eij
0,1,2,-3.8635,1.7332,-3.9475,1.4209,-4.31E-06
0,1,3,-3.8635,1.7332,-2.3934,1.432,-4.30E-06
0,1,4,-3.8635,1.7332,-4.049,1.4289,-4.07E-06
0,1,5,-3.8635,1.7332,-3.8464,1.729,-3.92E-06
0,1,6,-3.8635,1.7332,-3.8356,1.4182,-4.41E-06
0,1,7,-3.8635,1.7332,-2.9112,1.3925,-3.99E-06
0,1,8,-3.8635,1.7332,-1.9535,1.7524,-4.45E-06
0,1,9,-3.8635,1.7332,-3.6679,1.739,-3.60E-06
0,1,10,-3.8635,1.7332,-0.41621,1.7981,-4.10E-06
0,1,11,-3.8635,1.7332,-4.7824,1.9148,-3.32E-06
0,1,12,-3.8635,1.7332,-4.1833,1.2502,-4.11E-06
0,1,13,-3.8635,1.7332,-2.6729,1.9823,-3.19E-06
0,1,14,-3.8635,1.7332,-3.2582,1.1856,-3.72E-06
0,1,15,-3.8635,1.7332,-4.2017,1.7902,-3.71E-06
0,1,16,-3.8635,1.7332,-1.341,1.8223,-4.24E-06
0,1,17,-3.8635,1.7332,-4.3954,1.795,-3.76E-06
0,1,18,-3.8635,1.7332,-1.8322,1.8141,-4.29E-06
0,1,19,-3.8635,1.7332,-4.2568,1.7993,-3.80E-06
0,1,20,-3.8635,1.7332,-0.84612,1.7946,-4.34E-06
0,1,21,-3.8635,1.7332,-2.3282,1.9896,-3.60E-06
0,1,22,-3.8635,1.7332,-2.3222,1.6677,-3.67E-06
0,1,23,-3.8635,1.7332,-3.4608,1.9747,-3.48E-06
0,1,24,-3.8635,1.7332,-3.9445,1.1964,-3.93E-06
0,1,25,-3.8635,1.7332,-1.971,1.1597,-3.61E-06
0,1,26,-3.8635,1.7332,-1.6217,1.9558,-3.87E-06
0,1,27,-3.8635,1.7332,-4.0263,1.9147,-3.28E-06
0,1,28,-3.8635,1.7332,-0.46781,1.918,-4.02E-06
0,1,29,-3.8635,1.7332,-1.7753,1.1736,-3.39E-06
0,1,30,-3.8635,1.7332,-4.0864,1.2204,-4.05E-06
0,1,31,-3.8635,1.7332,-3.7308,1.9383,-3.34E-06
0,1,32,-3.8635,1.7332,-2.8472,1.979,-4.03E-06
0,1,33,-3.8635,1.7332,-2.5373,2.2849,-2.32E-06
0,1,34,-3.8635,1.7332,-0.85235,2.291,-2.39E-06
0,1,35,-3.8635,1.7332,-7.2003,0.46719,-2.24E-09
0,1,36,-3.8635,1.7332,-7.1357,2.8462,3.96E-09
0,1,37,-3.8635,1.7332,-5.9264,0.29628,8.21E-07
0,1,38,-3.8635,1.7332,-6.8305,1.4213,5.77E-07
0,1,39,-3.8635,1.7332,-7.6573,1.0787,2.42E-08
0,1,40,-3.8635,1.7332,-7.1797,2.0081,1.98E-08
0,1,41,-3.8635,1.7332,-6.7558,0.071307,-1.53E-09
0,1,42,-3.8635,1.7332,-7.0942,2.5105,-1.74E-08
0,1,43,-3.8635,1.7332,-6.008,1.3141,-8.85E-07
0,1,44,-3.8635,1.7332,-5.9648,1.7855,-6.77E-07
0,1,45,-3.8635,1.7332,-6.5568,0.70734,8.71E-08
0,1,46,-3.8635,1.7332,-6.4919,3.1112,-7.23E-08
0,1,47,-3.8635,1.7332,-6.0823,2.6445,-1.94E-07
0,1,48,-3.8635,1.7332,-6.0779,0.47574,-2.77E-07
0,1,49,-3.8635,1.7332,-6.5641,0.25413,-4.11E-08
0,1,50,-3.8635,1.7332,-6.5411,1.3214,-3.45E-08
0,1,51,-3.8635,1.7332,-6.2728,0.78381,2.37E-07
0,1,52,-3.8635,1.7332,-6.3483,2.1461,2.03E-07
0,1,53,-3.8635,1.7332,-6.3853,1.3995,2.50E-07
0,1,54,-3.8635,1.7332,-6.4686,1.6651,2.42E-07
0,1,55,-3.8635,1.7332,-6.8323,3.0988,-1.03E-10
